Obs,Domain,Indicator,Measures,Data Breakdowns,Disaggregation,nObs,Percent,CI_low_95,CI_Upper_95,CV,CV_Interpretation,Label_,Source,Notes,Population,Measure,Definition,Data Source,Data Available,Population2,Estimate Calculation,Additional Remarks
39,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was physically abused (slapped/hit/pushed/grabbed/shoved/thrown at/physically attacked) 1+ times by an adult (18+)",Ethnicity,Not a visible minority,7824,27.7,30.7,28.4,1.3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by ethnicity, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who experienced physical abuse before the age of 15 years by someone 18+;  Denominator: Total population, aged 15 years and older",
40,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was physically abused (slapped/hit/pushed/grabbed/shoved/thrown at/physically attacked) 1+ times by an adult (18+)",Ethnicity,Visible minority,1185,26.1,30.7,28.1,3.9,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by ethnicity, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who experienced physical abuse before the age of 15 years by someone 18+;  Denominator: Total population, aged 15 years and older",
41,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was physically abused (slapped/hit/pushed/grabbed/shoved/thrown at/physically attacked) 1+ times by an adult (18+)",Indigenous status,Total population,7219,27.4,30.7,28.1,1.3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by indigenous status, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who experienced physical abuse before the age of 15 years by someone 18+;  Denominator: Total population, aged 15 years and older",
42,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was physically abused (slapped/hit/pushed/grabbed/shoved/thrown at/physically attacked) 1+ times by an adult (18+)",Indigenous status,Non-Indigenous,6775,27,30.7,27.8,1.5,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by indigenous status, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who experienced physical abuse before the age of 15 years by someone 18+;  Denominator: Total population, aged 15 years and older",
43,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was physically abused (slapped/hit/pushed/grabbed/shoved/thrown at/physically attacked) 1+ times by an adult (18+)",Indigenous status,Indigenous,444,37.7,30.7,41.6,5.2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by indigenous status, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who experienced physical abuse before the age of 15 years by someone 18+;  Denominator: Total population, aged 15 years and older",
44,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was physically abused (slapped/hit/pushed/grabbed/shoved/thrown at/physically attacked) 1+ times by an adult (18+)",Immigrant status,Total population,8851,27.4,30.7,28.1,1.3,3,Percentage (%),General Social Survey 2014,An immigrant refers to someone not born in Canada or has/had landed immigrant status,"aged 15+ years, by immigrant status, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who experienced physical abuse before the age of 15 years by someone 18+;  Denominator: Total population, aged 15 years and older",
45,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was physically abused (slapped/hit/pushed/grabbed/shoved/thrown at/physically attacked) 1+ times by an adult (18+)",Immigrant status,Non-immigrant,7062,27.4,30.7,28.1,1.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by immigrant status, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who experienced physical abuse before the age of 15 years by someone 18+;  Denominator: Total population, aged 15 years and older",
46,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was physically abused (slapped/hit/pushed/grabbed/shoved/thrown at/physically attacked) 1+ times by an adult (18+)",Immigrant status,Immigrant,1789,27.8,30.7,29.5,3.1,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by immigrant status, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, physical abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who experienced physical abuse before the age of 15 years by someone 18+;  Denominator: Total population, aged 15 years and older",
1,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Sex,Total population,3071,8.1,30.7,8.5,2.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by sex, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
2,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Sex,Females,2378,12.1,30.7,12.8,2.6,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by sex, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
3,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Sex,Males,693,4,30.7,4.4,5.3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by sex, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
4,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Age group,Total population,3071,8.1,30.7,8.5,2.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
5,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Age group,15-24,101,2.4,30.7,3.1,15.3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
6,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Age group,25-34,254,5.7,30.7,6.6,8.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
7,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Age group,35-44,469,9.3,30.7,10.3,5.5,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
8,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Age group,45-54,692,11.1,30.7,12.2,5.2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
9,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Age group,55-64,832,11.6,30.7,12.6,4.5,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
10,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Age group,65-74,546,10.5,30.7,11.6,5.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
11,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Age group,75+,177,5.4,30.7,6.4,10,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
12,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,Canada,3071,8.1,30.7,8.5,2.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
13,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,BC,351,8.3,30.7,9.3,6.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
14,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,AB,250,7.1,30.7,8.1,7.3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
15,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,SK,146,7.2,30.7,8.5,9.5,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
16,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,MB,166,7.1,30.7,8.4,9.1,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
17,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,ON,748,7.6,30.7,8.3,4.7,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
18,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,QC,655,9.5,30.7,10.3,4.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
19,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,NB,206,10,30.7,11.5,7.7,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
20,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,NS,363,9,30.7,10,6,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
21,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,PE,75,8.8,30.7,11.3,14.3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
22,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Province,NL,111,6,30.7,7.4,11.2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by province, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
23,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Population centre/rural area,Total population,3071,8.1,30.7,8.5,2.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by population centre/rural area, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
24,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Population centre/rural area,Population centre,2409,8.2,30.7,8.6,2.7,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by population centre/rural area, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
25,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Population centre/rural area,Rural area,662,7.9,30.7,8.7,5.1,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by population centre/rural area, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
26,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, was sexually abused (forced/attempted forced sexual activity/touching) 1+ times by an adult (18+)",Highest level of education,Total population,3015,8.1,30.7,8.5,2.3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by highest level of education, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, sexual abuse by an adult","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): population aged 15 years and older who experienced sexual abuse before the age of 15; Denominator: Total population, aged 15 years and older",
