Indicator Parent,Indicator Breakdown,Secondary Breakdown Name,Secondary Breakdown,Location,Value
"First Nations, Métis, or Inuk","First Nations, Métis, or Inuk",Gender lived,CisF,Semi-urban sites in the province of Quebec,15.2
"First Nations, Métis, or Inuk","First Nations, Métis, or Inuk",Gender lived,CisM,Semi-urban sites in the province of Quebec,6.9
"First Nations, Métis, or Inuk","First Nations, Métis, or Inuk",Gender lived,CisF,New Brunswick,17.4
"First Nations, Métis, or Inuk","First Nations, Métis, or Inuk",Gender lived,CisM,New Brunswick,12.7
"First Nations, Métis, or Inuk","First Nations, Métis, or Inuk",Gender lived,TFEM,New Brunswick,25
Living in a First Nations community,Yes,None,None,Canada,13.8
Living in a First Nations community,Yes,Age group,Less than 25 years,Canada,13.5
Living in a First Nations community,Yes,Age group,25 to 39 years,Canada,14.5
Living in a First Nations community,Yes,Age group,40 to 54 years,Canada,14.1
Living in a First Nations community,Yes,Age group,55 years or more,Canada,8.6
Living in a First Nations community,Yes,Gender lived,CisF,Canada,13
Living in a First Nations community,Yes,Gender lived,CisM,Canada,14.1
Living in a First Nations community,Yes,Gender lived,TMAS,Canada,41.7
Living in a First Nations community,Yes,None,None,"Whitehorse, YK",53.8
Living in a First Nations community,Yes,None,None,"Central and Northern Vancouver Island, BC",10.4
Living in a First Nations community,Yes,None,None,"Prince Albert, SK",17.8
Living in a First Nations community,Yes,None,None,"Regina, SK",5.7
Living in a First Nations community,Yes,None,None,"Winnipeg, MN",23.5
Living in a First Nations community,Yes,None,None,"Thunder Bay, ON",10.9
Living in a First Nations community,Yes,None,None,"Hamilton, ON",5.3
Living in a First Nations community,Yes,None,None,Semi-urban sites in the province of Quebec,8.3
Living in a First Nations community,Yes,None,None,New Brunswick,17.2
Living in a First Nations community,Yes,None,None,Newfoundland,4.7
Living in a First Nations community,Yes,Age group,25 to 39 years,"Whitehorse, YK",63.6
Living in a First Nations community,Yes,Age group,40 to 54 years,"Whitehorse, YK",45.5
Living in a First Nations community,Yes,Age group,55 years or more,"Whitehorse, YK",66.7
Living in a First Nations community,Yes,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",7.7
Living in a First Nations community,Yes,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",11.8
Living in a First Nations community,Yes,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",7.1
Living in a First Nations community,Yes,Age group,55 years or more,"Central and Northern Vancouver Island, BC",16.7
Living in a First Nations community,Yes,Age group,Less than 25 years,"Prince Albert, SK",25
Living in a First Nations community,Yes,Age group,25 to 39 years,"Prince Albert, SK",15.6
Living in a First Nations community,Yes,Age group,40 to 54 years,"Prince Albert, SK",22.6
Living in a First Nations community,Yes,Age group,Less than 25 years,"Regina, SK",14.3
Living in a First Nations community,Yes,Age group,25 to 39 years,"Regina, SK",3
Living in a First Nations community,Yes,Age group,40 to 54 years,"Regina, SK",8.4
Living in a First Nations community,Yes,Age group,Less than 25 years,"Winnipeg, MN",29.4
Living in a First Nations community,Yes,Age group,25 to 39 years,"Winnipeg, MN",27.3
Living in a First Nations community,Yes,Age group,40 to 54 years,"Winnipeg, MN",17.9
Living in a First Nations community,Yes,Age group,55 years or more,"Winnipeg, MN",22.2
Living in a First Nations community,Yes,Age group,Less than 25 years,"Thunder Bay, ON",11.8
Living in a First Nations community,Yes,Age group,25 to 39 years,"Thunder Bay, ON",9.1
Living in a First Nations community,Yes,Age group,40 to 54 years,"Thunder Bay, ON",12.5
Living in a First Nations community,Yes,Age group,55 years or more,"Thunder Bay, ON",18.2
Living in a First Nations community,Yes,Age group,40 to 54 years,"Hamilton, ON",11.8
Living in a First Nations community,Yes,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,25
Living in a First Nations community,Yes,Age group,25 to 39 years,New Brunswick,25
Living in a First Nations community,Yes,Age group,40 to 54 years,New Brunswick,18.8
Living in a First Nations community,Yes,Age group,25 to 39 years,Newfoundland,4.8
Living in a First Nations community,Yes,Age group,40 to 54 years,Newfoundland,10
Living in a First Nations community,Yes,Gender lived,CisF,"Whitehorse, YK",45.5
Living in a First Nations community,Yes,Gender lived,CisM,"Whitehorse, YK",64.7
Living in a First Nations community,Yes,Gender lived,CisF,"Central and Northern Vancouver Island, BC",6.7
Living in a First Nations community,Yes,Gender lived,CisM,"Central and Northern Vancouver Island, BC",13.5
Living in a First Nations community,Yes,Gender lived,CisF,"Prince Albert, SK",17.5
Living in a First Nations community,Yes,Gender lived,CisM,"Prince Albert, SK",19
Living in a First Nations community,Yes,Gender lived,CisF,"Regina, SK",4.1
Living in a First Nations community,Yes,Gender lived,CisM,"Regina, SK",6.4
Living in a First Nations community,Yes,Gender lived,TMAS,"Regina, SK",33.3
Living in a First Nations community,Yes,Gender lived,CisF,"Winnipeg, MN",23.2
Living in a First Nations community,Yes,Gender lived,CisM,"Winnipeg, MN",21.1
Living in a First Nations community,Yes,Gender lived,TMAS,"Winnipeg, MN",80
Living in a First Nations community,Yes,Gender lived,CisF,"Thunder Bay, ON",6.1
Living in a First Nations community,Yes,Gender lived,CisM,"Thunder Bay, ON",15.5
Living in a First Nations community,Yes,Gender lived,CisF,"Hamilton, ON",13.3
Living in a First Nations community,Yes,Gender lived,CisM,Semi-urban sites in the province of Quebec,12.5
Living in a First Nations community,Yes,Gender lived,CisF,New Brunswick,25
Living in a First Nations community,Yes,Gender lived,CisM,New Brunswick,12.5
Race,1005_a - White,None,None,Canada,96.1
Race,1005_a - White,Age group,Less than 25 years,Canada,92.6
Race,1005_a - White,Age group,25 to 39 years,Canada,96
Race,1005_a - White,Age group,40 to 54 years,Canada,96.6
Race,1005_a - White,Age group,55 years or more,Canada,96.5
Race,1005_a - White,Gender lived,CisF,Canada,95.7
Race,1005_a - White,Gender lived,CisM,Canada,96.6
Race,1005_a - White,Gender lived,TFEM,Canada,70
Race,1005_a - White,Gender lived,TMAS,Canada,80
Race,1005_a - White,None,None,"Whitehorse, YK",100
Race,1005_a - White,None,None,"Central and Northern Vancouver Island, BC",96.4
Race,1005_a - White,None,None,"Prince Albert, SK",100
Race,1005_a - White,None,None,"Regina, SK",93.5
Race,1005_a - White,None,None,"Winnipeg, MN",93.8
Race,1005_a - White,None,None,"Thunder Bay, ON",100
Race,1005_a - White,None,None,"London, ON",95.9
Race,1005_a - White,None,None,"Hamilton, ON",89.8
Race,1005_a - White,None,None,"Ottawa, ON and the region of Outaouais, QC",87.2
Race,1005_a - White,None,None,"Montréal and the urban sites in the region of Montérégie, QC",97.8
Race,1005_a - White,None,None,"Québec City, QC",99.1
Race,1005_a - White,None,None,Semi-urban sites in the province of Quebec,99.3
Race,1005_a - White,None,None,New Brunswick,98.8
Race,1005_a - White,None,None,Newfoundland,98.8
Race,1005_a - White,Age group,25 to 39 years,"Whitehorse, YK",100
Race,1005_a - White,Age group,40 to 54 years,"Whitehorse, YK",100
Race,1005_a - White,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",88.9
Race,1005_a - White,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",100
Race,1005_a - White,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",96.9
Race,1005_a - White,Age group,55 years or more,"Central and Northern Vancouver Island, BC",84.6
Race,1005_a - White,Age group,25 to 39 years,"Prince Albert, SK",100
Race,1005_a - White,Age group,40 to 54 years,"Prince Albert, SK",100
Race,1005_a - White,Age group,55 years or more,"Prince Albert, SK",100
Race,1005_a - White,Age group,Less than 25 years,"Regina, SK",100
Race,1005_a - White,Age group,25 to 39 years,"Regina, SK",92.3
Race,1005_a - White,Age group,40 to 54 years,"Regina, SK",90.9
Race,1005_a - White,Age group,55 years or more,"Regina, SK",100
Race,1005_a - White,Age group,Less than 25 years,"Winnipeg, MN",50
Race,1005_a - White,Age group,25 to 39 years,"Winnipeg, MN",92.9
Race,1005_a - White,Age group,40 to 54 years,"Winnipeg, MN",100
Race,1005_a - White,Age group,55 years or more,"Winnipeg, MN",100
Race,1005_a - White,Age group,Less than 25 years,"Thunder Bay, ON",100
Race,1005_a - White,Age group,25 to 39 years,"Thunder Bay, ON",100
Race,1005_a - White,Age group,40 to 54 years,"Thunder Bay, ON",100
Race,1005_a - White,Age group,55 years or more,"Thunder Bay, ON",100
Race,1005_a - White,Age group,Less than 25 years,"London, ON",83.3
Race,1005_a - White,Age group,25 to 39 years,"London, ON",95
Race,1005_a - White,Age group,40 to 54 years,"London, ON",98.4
Race,1005_a - White,Age group,55 years or more,"London, ON",94.4
Race,1005_a - White,Age group,Less than 25 years,"Hamilton, ON",75
Race,1005_a - White,Age group,25 to 39 years,"Hamilton, ON",87.5
Race,1005_a - White,Age group,40 to 54 years,"Hamilton, ON",93.6
Race,1005_a - White,Age group,55 years or more,"Hamilton, ON",88.9
Race,1005_a - White,Age group,Less than 25 years,"Ottawa, ON and the region of Outaouais, QC",71.4
Race,1005_a - White,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",82.2
Race,1005_a - White,Age group,40 to 54 years,"Ottawa, ON and the region of Outaouais, QC",86.4
Race,1005_a - White,Age group,55 years or more,"Ottawa, ON and the region of Outaouais, QC",100
Race,1005_a - White,Age group,Less than 25 years,"Montréal and the urban sites in the region of Montérégie, QC",100
Race,1005_a - White,Age group,25 to 39 years,"Montréal and the urban sites in the region of Montérégie, QC",95
Race,1005_a - White,Age group,40 to 54 years,"Montréal and the urban sites in the region of Montérégie, QC",100
Race,1005_a - White,Age group,55 years or more,"Montréal and the urban sites in the region of Montérégie, QC",100
Race,1005_a - White,Age group,Less than 25 years,"Québec City, QC",100
Race,1005_a - White,Age group,25 to 39 years,"Québec City, QC",98
Race,1005_a - White,Age group,40 to 54 years,"Québec City, QC",100
Race,1005_a - White,Age group,55 years or more,"Québec City, QC",100
Race,1005_a - White,Age group,Less than 25 years,Semi-urban sites in the province of Quebec,100
Race,1005_a - White,Age group,25 to 39 years,Semi-urban sites in the province of Quebec,100
Race,1005_a - White,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,98.5
Race,1005_a - White,Age group,55 years or more,Semi-urban sites in the province of Quebec,100
Race,1005_a - White,Age group,Less than 25 years,New Brunswick,100
Race,1005_a - White,Age group,25 to 39 years,New Brunswick,98.9
Race,1005_a - White,Age group,40 to 54 years,New Brunswick,98.3
Race,1005_a - White,Age group,55 years or more,New Brunswick,100
Race,1005_a - White,Age group,Less than 25 years,Newfoundland,100
Race,1005_a - White,Age group,25 to 39 years,Newfoundland,100
Race,1005_a - White,Age group,40 to 54 years,Newfoundland,94.7
Race,1005_a - White,Age group,55 years or more,Newfoundland,100
Race,1005_a - White,Gender lived,CisF,"Whitehorse, YK",100
Race,1005_a - White,Gender lived,CisM,"Whitehorse, YK",100
Race,1005_a - White,Gender lived,CisF,"Central and Northern Vancouver Island, BC",96.7
Race,1005_a - White,Gender lived,CisM,"Central and Northern Vancouver Island, BC",96.3
Race,1005_a - White,Gender lived,TMAS,"Central and Northern Vancouver Island, BC",100
Race,1005_a - White,Gender lived,CisF,"Prince Albert, SK",100
Race,1005_a - White,Gender lived,CisM,"Prince Albert, SK",100
Race,1005_a - White,Gender lived,CisF,"Regina, SK",75
Race,1005_a - White,Gender lived,CisM,"Regina, SK",96.3
Race,1005_a - White,Gender lived,CisF,"Winnipeg, MN",100
Race,1005_a - White,Gender lived,CisM,"Winnipeg, MN",92
Race,1005_a - White,Gender lived,CisF,"Thunder Bay, ON",100
Race,1005_a - White,Gender lived,CisM,"Thunder Bay, ON",100
Race,1005_a - White,Gender lived,CisF,"London, ON",97
Race,1005_a - White,Gender lived,CisM,"London, ON",95.5
Race,1005_a - White,Gender lived,TFEM,"London, ON",100
Race,1005_a - White,Gender lived,CisF,"Hamilton, ON",96.8
Race,1005_a - White,Gender lived,CisM,"Hamilton, ON",90.4
Race,1005_a - White,Gender lived,TMAS,"Hamilton, ON",50
Race,1005_a - White,Gender lived,CisF,"Ottawa, ON and the region of Outaouais, QC",80
Race,1005_a - White,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",90.3
Race,1005_a - White,Gender lived,CisF,"Montréal and the urban sites in the region of Montérégie, QC",96.4
Race,1005_a - White,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",98.7
Race,1005_a - White,Gender lived,CisF,"Québec City, QC",97.2
Race,1005_a - White,Gender lived,CisM,"Québec City, QC",100
Race,1005_a - White,Gender lived,TFEM,"Québec City, QC",100
Race,1005_a - White,Gender lived,CisF,Semi-urban sites in the province of Quebec,100
Race,1005_a - White,Gender lived,CisM,Semi-urban sites in the province of Quebec,99.2
Race,1005_a - White,Gender lived,TFEM,Semi-urban sites in the province of Quebec,100
Race,1005_a - White,Gender lived,TMAS,Semi-urban sites in the province of Quebec,100
Race,1005_a - White,Gender lived,CisF,New Brunswick,100
Race,1005_a - White,Gender lived,CisM,New Brunswick,98.2
Race,1005_a - White,Gender lived,TFEM,New Brunswick,100
Race,1005_c - Black,None,None,Canada,1.7
Race,1005_c - Black,Age group,Less than 25 years,Canada,3.7
Race,1005_c - Black,Age group,25 to 39 years,Canada,1.7
Race,1005_c - Black,Age group,40 to 54 years,Canada,1.5
Race,1005_c - Black,Age group,55 years or more,Canada,1.7
Race,1005_c - Black,Gender lived,CisF,Canada,1.2
Race,1005_c - Black,Gender lived,CisM,Canada,1.9
Race,1005_c - Black,Gender lived,TFEM,Canada,10
Race,1005_c - Black,None,None,"Central and Northern Vancouver Island, BC",0.9
Race,1005_c - Black,None,None,"Regina, SK",6.5
Race,1005_c - Black,None,None,"Winnipeg, MN",3.1
Race,1005_c - Black,None,None,"London, ON",3.4
Race,1005_c - Black,None,None,"Hamilton, ON",3.4
Race,1005_c - Black,None,None,"Ottawa, ON and the region of Outaouais, QC",3.4
Race,1005_c - Black,None,None,"Montréal and the urban sites in the region of Montérégie, QC",0.5
Race,1005_c - Black,None,None,Semi-urban sites in the province of Quebec,1.3
Race,1005_c - Black,None,None,New Brunswick,1.8
Race,1005_c - Black,Age group,55 years or more,"Central and Northern Vancouver Island, BC",7.7
Race,1005_c - Black,Age group,25 to 39 years,"Regina, SK",7.7
Race,1005_c - Black,Age group,40 to 54 years,"Regina, SK",9.1
Race,1005_c - Black,Age group,Less than 25 years,"Winnipeg, MN",50
Race,1005_c - Black,Age group,Less than 25 years,"London, ON",16.7
Race,1005_c - Black,Age group,25 to 39 years,"London, ON",3.3
Race,1005_c - Black,Age group,40 to 54 years,"London, ON",1.6
Race,1005_c - Black,Age group,55 years or more,"London, ON",5.6
Race,1005_c - Black,Age group,25 to 39 years,"Hamilton, ON",5
Race,1005_c - Black,Age group,40 to 54 years,"Hamilton, ON",4.3
Race,1005_c - Black,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",6.7
Race,1005_c - Black,Age group,40 to 54 years,"Ottawa, ON and the region of Outaouais, QC",3
Race,1005_c - Black,Age group,25 to 39 years,"Montréal and the urban sites in the region of Montérégie, QC",1.3
Race,1005_c - Black,Age group,Less than 25 years,Semi-urban sites in the province of Quebec,25
Race,1005_c - Black,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,1.5
Race,1005_c - Black,Age group,25 to 39 years,New Brunswick,1.1
Race,1005_c - Black,Age group,40 to 54 years,New Brunswick,1.7
Race,1005_c - Black,Age group,55 years or more,New Brunswick,6.3
Race,1005_c - Black,Gender lived,CisM,"Central and Northern Vancouver Island, BC",1.2
Race,1005_c - Black,Gender lived,CisM,"Regina, SK",7.4
Race,1005_c - Black,Gender lived,CisM,"Winnipeg, MN",4
Race,1005_c - Black,Gender lived,CisF,"London, ON",3
Race,1005_c - Black,Gender lived,CisM,"London, ON",3.6
Race,1005_c - Black,Gender lived,CisF,"Hamilton, ON",3.2
Race,1005_c - Black,Gender lived,CisM,"Hamilton, ON",2.4
Race,1005_c - Black,Gender lived,TFEM,"Hamilton, ON",50
Race,1005_c - Black,Gender lived,CisF,"Ottawa, ON and the region of Outaouais, QC",2.2
Race,1005_c - Black,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",3.9
Race,1005_c - Black,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",0.6
Race,1005_c - Black,Gender lived,CisM,Semi-urban sites in the province of Quebec,1.6
Race,1005_c - Black,Gender lived,CisF,New Brunswick,1.8
Race,1005_c - Black,Gender lived,CisM,New Brunswick,1.8
Race,1005_l - other,None,None,Canada,2.2
Race,1005_l - other,Age group,Less than 25 years,Canada,3.7
Race,1005_l - other,Age group,25 to 39 years,Canada,3.2
Race,1005_l - other,Age group,40 to 54 years,Canada,1.1
Race,1005_l - other,Age group,55 years or more,Canada,1.2
Race,1005_l - other,Gender lived,CisF,Canada,3.5
Race,1005_l - other,Gender lived,CisM,Canada,1.8
Race,1005_l - other,None,None,"Central and Northern Vancouver Island, BC",1.8
Race,1005_l - other,None,None,"Winnipeg, MN",6.3
Race,1005_l - other,None,None,"Thunder Bay, ON",1.6
Race,1005_l - other,None,None,"London, ON",3.4
Race,1005_l - other,None,None,"Hamilton, ON",2.5
Race,1005_l - other,None,None,"Ottawa, ON and the region of Outaouais, QC",5.4
Race,1005_l - other,None,None,"Montréal and the urban sites in the region of Montérégie, QC",0.5
Race,1005_l - other,None,None,"Québec City, QC",0.9
Race,1005_l - other,None,None,New Brunswick,4.1
Race,1005_l - other,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",11.1
Race,1005_l - other,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",1.7
Race,1005_l - other,Age group,25 to 39 years,"Winnipeg, MN",7.1
Race,1005_l - other,Age group,55 years or more,"Winnipeg, MN",9.1
Race,1005_l - other,Age group,25 to 39 years,"Thunder Bay, ON",3.3
Race,1005_l - other,Age group,Less than 25 years,"London, ON",16.7
Race,1005_l - other,Age group,25 to 39 years,"London, ON",5
Race,1005_l - other,Age group,40 to 54 years,"London, ON",1.6
Race,1005_l - other,Age group,25 to 39 years,"Hamilton, ON",5
Race,1005_l - other,Age group,40 to 54 years,"Hamilton, ON",2.1
Race,1005_l - other,Age group,Less than 25 years,"Ottawa, ON and the region of Outaouais, QC",14.3
Race,1005_l - other,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",6.7
Race,1005_l - other,Age group,40 to 54 years,"Ottawa, ON and the region of Outaouais, QC",6.1
Race,1005_l - other,Age group,25 to 39 years,"Montréal and the urban sites in the region of Montérégie, QC",1.3
Race,1005_l - other,Age group,25 to 39 years,"Québec City, QC",2
Race,1005_l - other,Age group,25 to 39 years,New Brunswick,6.7
Race,1005_l - other,Age group,55 years or more,New Brunswick,6.3
Race,1005_l - other,Gender lived,CisF,"Central and Northern Vancouver Island, BC",3.3
Race,1005_l - other,Gender lived,CisM,"Central and Northern Vancouver Island, BC",1.2
Race,1005_l - other,Gender lived,CisM,"Winnipeg, MN",8
Race,1005_l - other,Gender lived,CisM,"Thunder Bay, ON",2.1
Race,1005_l - other,Gender lived,CisF,"London, ON",6.1
Race,1005_l - other,Gender lived,CisM,"London, ON",2.7
Race,1005_l - other,Gender lived,CisF,"Hamilton, ON",3.2
Race,1005_l - other,Gender lived,CisM,"Hamilton, ON",2.4
Race,1005_l - other,Gender lived,CisF,"Ottawa, ON and the region of Outaouais, QC",13.3
Race,1005_l - other,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",1.9
Race,1005_l - other,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",0.6
Race,1005_l - other,Gender lived,CisF,"Québec City, QC",2.8
Race,1005_l - other,Gender lived,CisF,New Brunswick,1.8
Race,1005_l - other,Gender lived,CisM,New Brunswick,5.5
Country of Birth,Yes,None,None,Canada,96.8
Country of Birth,Yes,Age group,Less than 25 years,Canada,98.1
Country of Birth,Yes,Age group,25 to 39 years,Canada,97.7
Country of Birth,Yes,Age group,40 to 54 years,Canada,96.8
Country of Birth,Yes,Age group,55 years or more,Canada,92.8
Country of Birth,Yes,Gender lived,CisF,Canada,97.3
Country of Birth,Yes,Gender lived,CisM,Canada,96.7
Country of Birth,Yes,Gender lived,TFEM,Canada,95.8
Country of Birth,Yes,Gender lived,TMAS,Canada,100
Country of Birth,Yes,None,None,"Whitehorse, YK",100
Country of Birth,Yes,None,None,"Central and Northern Vancouver Island, BC",98.3
Country of Birth,Yes,None,None,"Prince Albert, SK",98.9
Country of Birth,Yes,None,None,"Regina, SK",99
Country of Birth,Yes,None,None,"Winnipeg, MN",98.9
Country of Birth,Yes,None,None,"Thunder Bay, ON",98.5
Country of Birth,Yes,None,None,"London, ON",94.2
Country of Birth,Yes,None,None,"Hamilton, ON",91.1
Country of Birth,Yes,None,None,"Ottawa, ON and the region of Outaouais, QC",91.5
Country of Birth,Yes,None,None,"Montréal and the urban sites in the region of Montérégie, QC",97
Country of Birth,Yes,None,None,"Québec City, QC",98.4
Country of Birth,Yes,None,None,Semi-urban sites in the province of Quebec,97
Country of Birth,Yes,None,None,New Brunswick,96.5
Country of Birth,Yes,None,None,Newfoundland,100
Country of Birth,Yes,Age group,Less than 25 years,"Whitehorse, YK",100
Country of Birth,Yes,Age group,25 to 39 years,"Whitehorse, YK",100
Country of Birth,Yes,Age group,40 to 54 years,"Whitehorse, YK",100
Country of Birth,Yes,Age group,55 years or more,"Whitehorse, YK",100
Country of Birth,Yes,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",100
Country of Birth,Yes,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",100
Country of Birth,Yes,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",97.8
Country of Birth,Yes,Age group,55 years or more,"Central and Northern Vancouver Island, BC",89.5
Country of Birth,Yes,Age group,Less than 25 years,"Prince Albert, SK",100
Country of Birth,Yes,Age group,25 to 39 years,"Prince Albert, SK",100
Country of Birth,Yes,Age group,40 to 54 years,"Prince Albert, SK",97.1
Country of Birth,Yes,Age group,55 years or more,"Prince Albert, SK",100
Country of Birth,Yes,Age group,Less than 25 years,"Regina, SK",100
Country of Birth,Yes,Age group,25 to 39 years,"Regina, SK",97.5
Country of Birth,Yes,Age group,40 to 54 years,"Regina, SK",100
Country of Birth,Yes,Age group,55 years or more,"Regina, SK",100
Country of Birth,Yes,Age group,Less than 25 years,"Winnipeg, MN",100
Country of Birth,Yes,Age group,25 to 39 years,"Winnipeg, MN",98.8
Country of Birth,Yes,Age group,40 to 54 years,"Winnipeg, MN",100
Country of Birth,Yes,Age group,55 years or more,"Winnipeg, MN",95
Country of Birth,Yes,Age group,Less than 25 years,"Thunder Bay, ON",100
Country of Birth,Yes,Age group,25 to 39 years,"Thunder Bay, ON",98.1
Country of Birth,Yes,Age group,40 to 54 years,"Thunder Bay, ON",98.2
Country of Birth,Yes,Age group,55 years or more,"Thunder Bay, ON",100
Country of Birth,Yes,Age group,Less than 25 years,"London, ON",91.7
Country of Birth,Yes,Age group,25 to 39 years,"London, ON",97.7
Country of Birth,Yes,Age group,40 to 54 years,"London, ON",90.2
Country of Birth,Yes,Age group,55 years or more,"London, ON",96
Country of Birth,Yes,Age group,Less than 25 years,"Hamilton, ON",100
Country of Birth,Yes,Age group,25 to 39 years,"Hamilton, ON",96.2
Country of Birth,Yes,Age group,40 to 54 years,"Hamilton, ON",95.3
Country of Birth,Yes,Age group,55 years or more,"Hamilton, ON",75
Country of Birth,Yes,Age group,Less than 25 years,"Ottawa, ON and the region of Outaouais, QC",71.4
Country of Birth,Yes,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",92.2
Country of Birth,Yes,Age group,40 to 54 years,"Ottawa, ON and the region of Outaouais, QC",93.3
Country of Birth,Yes,Age group,55 years or more,"Ottawa, ON and the region of Outaouais, QC",90
Country of Birth,Yes,Age group,Less than 25 years,"Montréal and the urban sites in the region of Montérégie, QC",100
Country of Birth,Yes,Age group,25 to 39 years,"Montréal and the urban sites in the region of Montérégie, QC",95.2
Country of Birth,Yes,Age group,40 to 54 years,"Montréal and the urban sites in the region of Montérégie, QC",97.8
Country of Birth,Yes,Age group,55 years or more,"Montréal and the urban sites in the region of Montérégie, QC",100
Country of Birth,Yes,Age group,Less than 25 years,"Québec City, QC",100
Country of Birth,Yes,Age group,25 to 39 years,"Québec City, QC",96.4
Country of Birth,Yes,Age group,40 to 54 years,"Québec City, QC",100
Country of Birth,Yes,Age group,55 years or more,"Québec City, QC",100
Country of Birth,Yes,Age group,Less than 25 years,Semi-urban sites in the province of Quebec,100
Country of Birth,Yes,Age group,25 to 39 years,Semi-urban sites in the province of Quebec,100
Country of Birth,Yes,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,95.8
Country of Birth,Yes,Age group,55 years or more,Semi-urban sites in the province of Quebec,90.9
Country of Birth,Yes,Age group,Less than 25 years,New Brunswick,100
Country of Birth,Yes,Age group,25 to 39 years,New Brunswick,95.9
Country of Birth,Yes,Age group,40 to 54 years,New Brunswick,96
Country of Birth,Yes,Age group,55 years or more,New Brunswick,100
Country of Birth,Yes,Age group,Less than 25 years,Newfoundland,100
Country of Birth,Yes,Age group,25 to 39 years,Newfoundland,100
Country of Birth,Yes,Age group,40 to 54 years,Newfoundland,100
Country of Birth,Yes,Age group,55 years or more,Newfoundland,100
Country of Birth,Yes,Gender lived,CisF,"Whitehorse, YK",100
Country of Birth,Yes,Gender lived,CisM,"Whitehorse, YK",100
Country of Birth,Yes,Gender lived,CisF,"Central and Northern Vancouver Island, BC",100
Country of Birth,Yes,Gender lived,CisM,"Central and Northern Vancouver Island, BC",97.5
Country of Birth,Yes,Gender lived,TMAS,"Central and Northern Vancouver Island, BC",100
Country of Birth,Yes,Gender lived,CisF,"Prince Albert, SK",100
Country of Birth,Yes,Gender lived,CisM,"Prince Albert, SK",98.9
Country of Birth,Yes,Gender lived,TFEM,"Prince Albert, SK",50
Country of Birth,Yes,Gender lived,TMAS,"Prince Albert, SK",100
Country of Birth,Yes,Gender lived,CisF,"Regina, SK",98.7
Country of Birth,Yes,Gender lived,CisM,"Regina, SK",99.2
Country of Birth,Yes,Gender lived,TFEM,"Regina, SK",100
Country of Birth,Yes,Gender lived,TMAS,"Regina, SK",100
Country of Birth,Yes,Gender lived,CisF,"Winnipeg, MN",100
Country of Birth,Yes,Gender lived,CisM,"Winnipeg, MN",97.9
Country of Birth,Yes,Gender lived,TFEM,"Winnipeg, MN",100
Country of Birth,Yes,Gender lived,TMAS,"Winnipeg, MN",100
Country of Birth,Yes,Gender lived,CisF,"Thunder Bay, ON",97.6
Country of Birth,Yes,Gender lived,CisM,"Thunder Bay, ON",99.2
Country of Birth,Yes,Gender lived,CisF,"London, ON",95.2
Country of Birth,Yes,Gender lived,CisM,"London, ON",93.8
Country of Birth,Yes,Gender lived,TFEM,"London, ON",100
Country of Birth,Yes,Gender lived,CisF,"Hamilton, ON",91.3
Country of Birth,Yes,Gender lived,CisM,"Hamilton, ON",90.6
Country of Birth,Yes,Gender lived,TFEM,"Hamilton, ON",100
Country of Birth,Yes,Gender lived,TMAS,"Hamilton, ON",100
Country of Birth,Yes,Gender lived,CisF,"Ottawa, ON and the region of Outaouais, QC",92.8
Country of Birth,Yes,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",91.4
Country of Birth,Yes,Gender lived,TFEM,"Ottawa, ON and the region of Outaouais, QC",100
Country of Birth,Yes,Gender lived,CisF,"Montréal and the urban sites in the region of Montérégie, QC",96.9
Country of Birth,Yes,Gender lived,CisM,"Montréal and the urban sites in the region of Montérégie, QC",97.6
Country of Birth,Yes,Gender lived,CisF,"Québec City, QC",97.6
Country of Birth,Yes,Gender lived,CisM,"Québec City, QC",98.8
Country of Birth,Yes,Gender lived,TFEM,"Québec City, QC",100
Country of Birth,Yes,Gender lived,TMAS,"Québec City, QC",100
Country of Birth,Yes,Gender lived,CisF,Semi-urban sites in the province of Quebec,97
